Product Name, URL, Price
"ESPRIT Men Navy Blue Solid Round Neck T-shirt",https://www.myntra.com/Tshirts/ESPRIT/ESPRIT-Men-Navy-Blue-Solid-Round-Neck-T-shirt/2347105/buy,1499
"WROGN Men White & Blue Striped Polo T-shirt",https://www.myntra.com/Tshirts/WROGN/WROGN-Men-White--Blue-Striped-Polo-T-shirt/1536210/buy,1399
"Difference of Opinion Men White & Blue Striped Round Neck T-shirt",https://www.myntra.com/Tshirts/Difference-of-Opinion/Difference-of-Opinion-Men-White--Blue-Striped-Round-Neck-T-shirt/1714119/buy,549
"Moda Rapido Men Black & White Printed Round Neck T-shirt",https://www.myntra.com/Tshirts/Moda-Rapido/Moda-Rapido-Men-Black--White-Printed-Round-Neck-T-shirt/1727438/buy,489
"Red Tape Men White Printed Round Neck T-shirt",https://www.myntra.com/Tshirts/Red-Tape/Red-Tape-Men-White-Printed-Round-Neck-T-shirt/2399418/buy,299
"Roadster Men Black Solid Polo Collar T-shirt",https://www.myntra.com/Tshirts/Roadster/Roadster-Men-Black-Solid-Polo-Collar-T-shirt/2337637/buy,799
"Difference of Opinion Men Grey Melange & Red Colourblocked Round Neck T-Shirt",https://www.myntra.com/Tshirts/Difference-of-Opinion/Difference-of-Opinion-Men-Grey-Melange--Red-Colourblocked-Round-Neck-T-Shirt/1714124/buy,549
"Moda Rapido Men Grey & Black Colourblocked Round Neck T-shirt",https://www.myntra.com/Tshirts/Moda-Rapido/Moda-Rapido-Men-Grey--Black-Colourblocked-Round-Neck-T-shirt/1829113/buy,599
"Red Tape Men Navy Solid Polo Collar T-shirt",https://www.myntra.com/Tshirts/Red-Tape/Red-Tape-Men-Navy-Solid-Polo-Collar-T-shirt/2399403/buy,419
"ETHER Maroon Henley T-shirt",https://www.myntra.com/Tshirts/ether/ETHER-Maroon-Henley-T-shirt/1032027/buy,499
"Duke Pack of 2 Striped Polo T-shirts",https://www.myntra.com/Tshirts/Duke/Duke-Pack-of-2-Striped-Polo-T-shirts/1893862/buy,626
"HRX by Hrithik Roshan Men Teal Blue Printed Active T-shirt",https://www.myntra.com/Tshirts/HRX-by-Hrithik-Roshan/HRX-by-Hrithik-Roshan-Men-Teal-Blue-Printed-Active-T-shirt/1700744/buy,479
"Mast & Harbour Men Blue & White Striped Round Neck T-shirt",https://www.myntra.com/Tshirts/Mast--Harbour/Mast--Harbour-Men-Blue--White-Striped-Round-Neck-T-shirt/2232097/buy,299
"Moda Rapido Men Black Printed T-shirt",https://www.myntra.com/Tshirts/Moda-Rapido/Moda-Rapido-Men-Black-Printed-T-shirt/2221316/buy,479
"next Men Navy Blue Solid Round Neck T-shirt",https://www.myntra.com/Tshirts/next/next-Men-Navy-Blue-Solid-Round-Neck-T-shirt/2099183/buy,426
"Roadster Men Black Solid T-shirt",https://www.myntra.com/Tshirts/Roadster/Roadster-Men-Black-Solid-T-shirt/1824339/buy,489
"Nike Men Black Solid Round Neck FUTURA ICON Run T-shirt",https://www.myntra.com/Tshirts/Nike/Nike-Men-Black-Solid-Round-Neck-FUTURA-ICON-Run-T-shirt/2437421/buy,1395
"Moda Rapido Maroon T-shirt",https://www.myntra.com/Tshirts/Moda-Rapido/Moda-Rapido-Maroon-T-shirt/1128076/buy,399
"Roadster Men Black & Grey Checked Casual Shirt",https://www.myntra.com/Shirts/Roadster/Roadster-Men-Black--Grey-Checked-Casual-Shirt/1376577/buy,1299
"Mast & Harbour Men Black Regular Fit Solid Casual Shirt",https://www.myntra.com/Shirts/Mast--Harbour/Mast--Harbour-Men-Black-Regular-Fit-Solid-Casual-Shirt/2158311/buy,599
"Mast & Harbour Men Blue Regular Fit Solid Casual Shirt",https://www.myntra.com/Shirts/Mast--Harbour/Mast--Harbour-Men-Blue-Regular-Fit-Solid-Casual-Shirt/1352820/buy,779
"WROGN Men Blue & Brown Slim Fit Checked Casual Shirt",https://www.myntra.com/Shirts/WROGN/WROGN-Men-Blue--Brown-Slim-Fit-Checked-Casual-Shirt/2032637/buy,1319
"WROGN Maroon Printed Slim Fit Casual Shirt",https://www.myntra.com/Shirts/WROGN/WROGN-Maroon-Printed-Slim-Fit-Casual-Shirt/1421955/buy,1399
